org,name,language,license,version,has_codemeta,has_citation,has_zenodo
SoftwareSystemsLaboratory,ssl-metrics,Python,BSD-3-Clause,0.8,FALSE,FALSE,TRUE
CentroGeo,HierarchicalGeoClustering,Jupyter Notebook,Apache-2.0,NA,FALSE,FALSE,FALSE
nialov,tracerepo,Python,NA,v0.0.7,FALSE,FALSE,FALSE
tesselle,kairos,R,GPL-3.0,v1.0.1,TRUE,FALSE,FALSE
ulfsri,fsri-residential-gasburner-2016,Python,MIT,v1.0,FALSE,FALSE,FALSE
gederajeg,paracorp,R,NA,v0.0.1,FALSE,FALSE,FALSE
Swarm-DISC,fun-with-swarm,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
seanpm2001,SNU,Java,GPL-3.0,v1.0g_alpha1.0.2,FALSE,FALSE,FALSE
HTR-United,HTRUC,Python,NA,v0.0.4,FALSE,FALSE,FALSE
E-Health,drishti,Shell,NA,NA,FALSE,FALSE,FALSE
aphalo,photobiologyLEDs,R,NA,NA,FALSE,FALSE,FALSE
phiyodr,building-inspection-toolkit,Python,MIT,v0.1.2,FALSE,FALSE,FALSE
bkuhlmann,git_plus,Ruby,NA,1.2.1,FALSE,FALSE,FALSE
maryamekhlasi,flask-example,Python,NA,NA,FALSE,FALSE,FALSE
askoj,graph_properties_linear_program,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
Hyclone,Hyclone,Python,GPL-3.0,NA,FALSE,FALSE,FALSE
erdogant,hnet,Python,NA,1.1.12,FALSE,FALSE,FALSE
gammasim,gammasim-tools,Python,BSD-3-Clause,v0.2.0,FALSE,FALSE,FALSE
keithgroup,qa-dimers-data,Shell,NA,v1.0.0,FALSE,FALSE,FALSE
MignonDeveloper,lesion-detection,Python,NA,NA,FALSE,FALSE,FALSE
kedro-org,kedro,Python,Apache-2.0,0.18.0,FALSE,FALSE,FALSE
maxrmorrison,pyfoal,Python,MIT,NA,FALSE,FALSE,FALSE
psernatorre,Lossy-DCOPF-with-an-accurate-modelling-of-Li-Ion-batteries,Julia,NA,NA,FALSE,FALSE,FALSE
matchms,matchms,Python,Apache-2.0,0.15.0,FALSE,FALSE,TRUE
extratone,scrubs,JavaScript,NA,NA,FALSE,FALSE,FALSE
AntonioLonga,PytorchGeometricTutorial,Jupyter Notebook,NA,v1.0.0,FALSE,FALSE,FALSE
fairdataihub,FAIRshare,Vue,MIT,v1.2.0,TRUE,FALSE,FALSE
darker66678,NYCU_VRDL_Homework3,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
bgonzalezbustamante,quant-methods-elites,TeX,GPL-3.0,v0.13.7,FALSE,FALSE,FALSE
GAA-UAM,GBNN,Python,LGPL-2.1,GBNN,FALSE,FALSE,FALSE
fernphy,pteridocat,R,GPL-3.0,v0.0.1,FALSE,FALSE,FALSE
tweber-ill,ill_mirror-takin2-tlibs2,C++,GPL-3.0,ver-2.1.2,FALSE,FALSE,FALSE
zjunlp,DocED,Python,NA,NA,FALSE,FALSE,FALSE
xyz38324,master_thesis,Python,MIT,NA,FALSE,FALSE,FALSE
AlbertoCuadra,combustion_toolbox_website,MATLAB,MIT,NA,FALSE,FALSE,FALSE
minglibio,minglibio.github.io,SCSS,BSD-3-Clause,NA,FALSE,FALSE,FALSE
hagelborn,transformers,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
ICEI-PUC-Minas-PPLES-TI,plf-es-2021-1-ti1-7946100-glicemiaglicetec,HTML,CC-BY-4.0,NA,FALSE,FALSE,FALSE
anniehelms,machine_learning_for_linguistics,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
viniciusvviterbo,Multilayer-Perceptron,C++,AGPL-3.0,NA,FALSE,FALSE,FALSE
DavidBlairs,gapackage,R,NA,NA,FALSE,FALSE,FALSE
anastassiavybornova,bikenwgaps,HTML,GPL-3.0,v1.0.0,FALSE,FALSE,FALSE
marekdedic,EduNetsUrl.jl,Julia,NA,NA,FALSE,FALSE,FALSE
Doctorado-ML,Odte,Python,MIT,v0.3.2,FALSE,FALSE,FALSE
vifremel,ECE717_FinalProject,MATLAB,NA,NA,FALSE,FALSE,FALSE
jhidding,nbody2d,Python,Apache-2.0,v0.1.1,FALSE,FALSE,FALSE
Kim-jy0819,mmdetection_trash_data,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
QLVL,nephosem,Python,GPL-3.0,v0.1.1,FALSE,FALSE,FALSE
cjyetman,network.r2d3,R,NA,NA,TRUE,FALSE,FALSE
nltk,nltk,Python,Apache-2.0,3.7,FALSE,FALSE,FALSE
AndreasbCS,DLV_Unity,NA,GPL-3.0,NA,FALSE,FALSE,FALSE
tcumby,pre-commit-matlab-lint,Python,MIT,v1.0.5,FALSE,FALSE,FALSE
APPFL,APPFL,Python,MIT,v0.1.2,FALSE,FALSE,FALSE
mad-lab-fau,imucal,Python,MIT,v2.1.1,FALSE,FALSE,FALSE
jboynyc,textnets,Python,GPL-3.0,v0.7.1,FALSE,FALSE,FALSE
sjvrijn,multi-level-co-surrogates,Python,MIT,v2,FALSE,FALSE,FALSE
rOpenGov,giscoR,R,GPL-3.0,v0.3.1,TRUE,FALSE,FALSE
correspSearch,csLink,Vue,LGPL-3.0,v1.1.1,FALSE,FALSE,FALSE
biomechanics-hlrs-gebert,I-DOS-Downscaling,Fortran,MIT,v1.0.0,FALSE,FALSE,FALSE
tweber-ill,ill_mirror-takin2-core,C++,NA,NA,FALSE,FALSE,FALSE
mikeyu925,MMDetection,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
abelsiqueira,smol-opyt,Python,MIT,v0.1.0-rc1,FALSE,FALSE,FALSE
nax1016cs,DRVL,Python,NA,NA,FALSE,FALSE,FALSE
JuliaPapers,He-Kelly-Manela-2017-JFE,Julia,NA,NA,FALSE,FALSE,FALSE
REX-ggwp,LCE_MaterialPointCalculation,MATLAB,NA,NA,FALSE,FALSE,FALSE
TrueBlocks,trueblocks-core,C,GPL-3.0,v0.27.0-beta,FALSE,FALSE,FALSE
jordan-melendez,dft_emulator,Jupyter Notebook,MIT,v0.1,FALSE,FALSE,FALSE
bilal-dsu,Ranking,Python,MIT,Ranking,FALSE,FALSE,FALSE
boostcampaitech2,semantic-segmentation-level2-cv-16,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
scottyhq,testbook,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
LatinR,presentaciones-LatinR2019,NA,NA,NA,FALSE,FALSE,FALSE
iandinwoodie,aois-data,NA,MIT,v1.0.0,FALSE,FALSE,FALSE
LasseWolter,honours-project-21-22,TeX,NA,NA,FALSE,FALSE,FALSE
hyahatiph-labs,infosec,C++,MIT,himitsu-v0.1.1-experimental,FALSE,FALSE,FALSE
1999Lyd,AIPI530-take_home_project,Python,MIT,NA,FALSE,FALSE,FALSE
BlueBrain,diameter-synthesis,Python,GPL-3.0,0.4.2,FALSE,FALSE,FALSE
caltechlibrary,foliage,Python,NA,v1.2.4,TRUE,FALSE,FALSE
agneta20,wordcount,Python,MIT,v0.1.1,FALSE,FALSE,FALSE
LandscapeGeoinformatics,EGU_2021_lgeo_workshops,Jupyter Notebook,CC-BY-SA-4.0,v1.0.0,FALSE,FALSE,FALSE
Matthijnssenslab,ViPER,Shell,NA,v1.1,FALSE,FALSE,FALSE
twitter-research,multilingual-alignment-tpp,Jupyter Notebook,Apache-2.0,NA,FALSE,FALSE,FALSE
ComNetsHH,aodv-ld-simulator,JavaScript,NA,v1.0.0,FALSE,FALSE,FALSE
bpfverif,tnums-cgo22,Python,NA,v1.1.0,FALSE,FALSE,FALSE
Shen0000,Huggingface-DeBERTa,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
moshi4,github_action_tutorial,Python,NA,v0.1.0,FALSE,FALSE,FALSE
ShotaKameyama,ssd_u6,HTML,NA,NA,FALSE,FALSE,FALSE
